,GEOID,ACS_MFRENTALS,ACS_Owners,ACS_SF_Rents,LUPAMS,HCIDLA,LUPAMS_RC,HCIDLA_RC
54,6037106642,0,1000,112,0,0,0,NA
56,6037106645,0,1078,67,0,0,0,NA
62,6037108101,0,688,109,0,0,0,NA
64,6037108103,0,946,103,0,0,0,NA
65,6037108104,0,552,43,0,0,0,NA
70,6037109300,0,712,191,0,0,0,NA
81,6037111204,0,1752,190,0,0,0,NA
119,6037117301,0,1170,74,0,0,0,NA
129,6037119001,0,757,186,0,0,0,NA
254,6037131300,0,930,268,0,0,0,NA
278,6037134302,0,1051,181,0,0,0,NA
283,6037134421,0,1204,122,0,0,0,NA
306,6037137104,0,831,225,0,0,0,NA
309,6037137302,0,1387,223,0,0,0,NA
314,6037137504,0,648,32,0,0,0,NA
328,6037139702,0,2110,105,0,0,0,NA
329,6037139703,0,873,160,0,0,0,NA
330,6037139801,0,1146,154,0,0,0,NA
331,6037139802,0,1234,99,0,0,0,NA
340,6037141500,0,993,66,0,0,0,NA
341,6037141600,0,1510,116,0,0,0,NA
827,6037261102,0,1549,136,0,0,0,NA
833,6037262303,0,1026,80,0,0,0,NA
834,6037262400,0,1103,51,0,0,0,NA
849,6037265301,0,0,0,0,0,0,NA
876,6037269500,0,1300,84,0,0,0,NA
2327,6037980009,0,0,0,0,0,0,NA
2333,6037980019,0,61,10,0,0,0,NA
2334,6037980020,0,0,0,0,0,0,NA
2336,6037980022,0,0,0,0,0,0,NA
2337,6037980023,0,5,0,0,0,0,NA
2340,6037980026,0,4,4,0,0,0,NA
2341,6037980028,0,0,0,0,0,0,NA
2343,6037980031,0,0,13,0,0,0,NA
17,6037104103,8,637,145,0,0,0,NA
284,6037134422,8,1263,323,0,0,0,NA
57,6037106646,10,807,158,0,0,0,NA
836,6037262601,14,1286,98,0,0,0,NA
2338,6037980024,16,63,0,0,0,0,NA
544,6037207400,28,0,7,0,0,0,NA
63,6037108102,40,926,242,0,0,0,NA
66,6037108201,41,1378,522,0,0,0,NA
83,6037111206,43,1288,165,0,0,0,NA
106,6037115103,46,0,0,0,0,0,NA
40,6037106111,60,1205,94,0,0,0,NA
9,6037102104,65,1018,211,0,0,0,NA
99,6037113303,83,1213,68,0,0,0,NA
270,6037133000,87,902,265,0,0,0,NA
1634,6037535400,101,241,376,0,0,0,NA
285,6037134423,133,1038,122,0,0,0,NA
871,6037267901,355,1073,0,0,0,0,NA
819,6037242100,617,0,97,0,0,0,NA
2117,6037700901,695,623,143,0,0,0,NA
1021,6037302102,1422,725,387,0,0,0,NA
42,6037106113,0,787,137,2,2,0,NA
53,6037106641,0,675,45,2,2,0,NA
55,6037106643,0,1234,102,2,2,0,NA
79,6037111201,0,1014,69,2,2,0,NA
308,6037137301,0,614,124,2,2,0,NA
342,6037141700,0,1121,67,2,2,0,NA
302,6037135202,7,1278,214,3,2,0,NA
303,6037135203,14,2214,301,1,2,0,NA
76,6037109700,65,1028,179,2,2,0,NA
68,6037109100,77,556,68,2,2,0,NA
89,6037113211,84,1302,189,2,2,0,NA
831,6037262301,0,839,70,5,4,0,NA
2330,6037980014,0,0,13,4,4,0,NA
829,6037262100,7,1007,143,4,4,0,NA
138,6037119400,9,881,196,4,4,0,NA
121,6037117303,10,883,162,3,4,0,NA
118,6037117202,11,593,87,4,4,0,NA
51,6037106603,0,838,140,2,5,0,NA
39,6037106020,0,1259,169,6,6,0,NA
88,6037113102,0,906,57,7,7,0,NA
38,6037106010,86,668,169,7,7,0,NA
12,6037103101,0,727,191,8,8,0,NA
44,6037106403,0,622,142,8,8,0,NA
252,6037131100,46,809,187,8,8,0,NA
322,6037139402,50,761,85,8,8,0,NA
279,6037134303,263,1301,229,8,8,0,NA
2025,6037609900,200,309,114,10,10,0,NA
160,6037121600,0,664,140,11,11,0,NA
353,6037143901,55,1369,178,12,11,0,NA
826,6037261101,0,1273,242,14,13,0,NA
253,6037131200,52,773,295,14,14,0,NA
24,6037104310,12,538,293,14,15,0,NA
41,6037106112,0,1277,231,10,16,0,NA
828,6037261200,22,1345,315,16,16,0,NA
87,6037113101,51,923,165,15,16,0,NA
133,6037119310,504,536,91,16,16,0,NA
162,6037121802,10,571,142,18,17,0,NA
892,6037271400,19,1115,210,16,18,0,NA
59,6037106649,0,596,113,19,19,0,NA
31,6037104620,10,448,263,19,19,0,NA
116,6037117102,52,618,103,22,22,0,NA
131,6037119201,33,630,196,24,24,0,NA
318,6037139301,59,1355,164,23,27,0,NA
21,6037104201,13,631,253,29,30,0,NA
2326,6037980008,12,14,11,34,34,4310,4310
35,6037104810,8,660,376,39,35,0,NA
304,6037137000,58,1539,132,35,35,0,NA
26,6037104401,3,399,303,40,38,0,NA
297,6037135102,34,899,337,38,38,0,NA
315,6037138000,27,1465,305,38,39,0,NA
60,6037107010,4,549,188,43,40,0,NA
105,6037115101,17,1496,131,40,40,0,NA
973,6037296401,271,902,114,40,40,0,NA
3,6037101122,0,1025,193,45,44,0,NA
835,6037262501,63,1136,247,44,44,0,NA
157,6037121210,113,475,188,44,44,0,NA
301,6037135201,119,719,63,44,44,0,NA
50,6037106520,89,917,348,46,47,0,NA
260,6037131900,12,1023,354,36,48,0,NA
92,6037113231,56,692,87,48,48,0,NA
71,6037109400,58,852,111,48,49,0,NA
6,6037101300,28,1318,189,52,51,0,NA
