City Name,County Name, Total Revenue , Local Revenue ,% Local Revenue, Total Revenue per capita , Total Population ,Total Pop. MOE,,,,,,,
Alameda,Alameda," 167,723,599 "," 155,549,613 ",92.88," 2,290 "," 73,239 ",46,,,,,,,
Albany,Alameda," 26,655,984 "," 23,455,165 ",88.73," 1,463 "," 18,217 ",33,,,,,,,
Berkeley,Alameda," 313,302,990 "," 277,596,609 ",88.60," 2,822 "," 111,008 ",46,,,,,,,
Dublin,Alameda," 71,001,006 "," 67,924,798 ",96.99," 1,607 "," 44,171 ",37,,,,,,,
Emeryville,Alameda," 35,691,325 "," 33,754,008 ",95.28," 3,680 "," 9,698 ",22,,,,,,,
Fremont,Alameda," 195,202,409 "," 175,601,347 ",90.09, 922 ," 211,748 ",46,,,,,,,
Hayward,Alameda," 212,525,856 "," 180,002,270 ",85.34," 1,487 "," 142,936 ",72,,,,,,,
Livermore,Alameda," 148,248,559 "," 131,097,657 ",88.82," 1,860 "," 79,710 ",51,,,,,,,
Newark,Alameda," 39,966,962 "," 36,184,101 ",93.37, 944 ," 42,322 ",46,,,,,,,
Oakland,Alameda," 1,149,674,905 "," 953,658,351 ",83.24," 2,952 "," 389,397 ",61,,,,,,,
Piedmont,Alameda," 25,922,737 "," 25,271,529 ",98.13," 2,436 "," 10,640 ",27,,,,,,,
Pleasanton,Alameda," 146,297,163 "," 138,571,529 ",94.72," 2,114 "," 69,220 ",45,,,,,,,
San Leandro,Alameda," 98,972,332 "," 91,961,825 ",92.92," 1,180 "," 83,877 ",80,,,,,,,
Union City,Alameda," 72,366,147 "," 66,018,652 ",92.49," 1,051 "," 68,830 ",44,,,,,,,
Amador,Amador," 576,130 "," 377,403 ",65.51," 3,646 ", 158 ,85,,,,,,,
Ione,Amador," 3,286,736 "," 3,002,352 ",91.35, 417 ," 7,873 ",17,,,,,,,
Jackson,Amador," 7,842,081 "," 6,602,147 ",85.01," 1,695 "," 4,626 ",43,,,,,,,
Plymouth,Amador," 3,566,265 "," 1,594,816 ",44.72," 3,380 "," 1,055 ",229,,,,,,,
Sutter Creek,Amador," 4,282,037 "," 4,035,523 ",94.24," 1,715 "," 2,497 ",449,,,,,,,
Biggs,Butte," 4,323,029 "," 4,055,777 ",93.82," 2,243 "," 1,927 ",319,,,,,,,
Chico,Butte," 77,689,872 "," 62,280,934 ",80.17, 908 ," 85,605 ",74,,,,,,,
